category,family,cost_ratio
agro_industry_and_commerce,tools_construction,0.65
air_conditioning,appliances,0.75
art,leisure,0.6
arts_and_craftmanship,leisure,0.6
audio,electronics,0.8
auto,tools_construction,0.65
baby,beauty_health,0.55
bed_bath_table,home,0.55
books_general_interest,books_media,0.65
books_imported,books_media,0.65
books_technical,books_media,0.65
cds_dvds_musicals,books_media,0.65
christmas_supplies,leisure,0.6
cine_photo,electronics,0.8
computers,electronics,0.8
computers_accessories,electronics,0.8
consoles_games,electronics,0.8
construction_tools_construction,tools_construction,0.65
construction_tools_lights,tools_construction,0.65
construction_tools_safety,tools_construction,0.65
cool_stuff,leisure,0.6
costruction_tools_garden,tools_construction,0.65
costruction_tools_tools,tools_construction,0.65
diapers_and_hygiene,beauty_health,0.55
drinks,food,0.7
dvds_blu_ray,books_media,0.65
electronics,electronics,0.8
fashio_female_clothing,fashion,0.45
fashion_bags_accessories,fashion,0.45
fashion_childrens_clothes,fashion,0.45
fashion_male_clothing,fashion,0.45
fashion_shoes,fashion,0.45
fashion_sport,fashion,0.45
fashion_underwear_beach,fashion,0.45
fixed_telephony,electronics,0.8
flowers,food,0.7
food,food,0.7
food_drink,food,0.7
furniture_bedroom,home,0.55
furniture_decor,home,0.55
furniture_living_room,home,0.55
furniture_mattress_and_upholstery,home,0.55
garden_tools,tools_construction,0.65
health_beauty,beauty_health,0.55
home_appliances,appliances,0.75
home_appliances_2,appliances,0.75
home_comfort_2,home,0.55
home_confort,home,0.55
home_construction,tools_construction,0.65
housewares,home,0.55
industry_commerce_and_business,tools_construction,0.65
kitchen_dining_laundry_garden_furniture,home,0.55
la_cuisine,home,0.55
luggage_accessories,fashion,0.45
market_place,other,0.6
music,books_media,0.65
musical_instruments,leisure,0.6
office_furniture,home,0.55
party_supplies,leisure,0.6
pc_gamer,electronics,0.8
perfumery,beauty_health,0.55
pet_shop,leisure,0.6
portable_kitchen_food_preparers,appliances,0.75
security_and_services,other,0.6
signaling_and_security,tools_construction,0.65
small_appliances,appliances,0.75
small_appliances_home_oven_and_coffee,appliances,0.75
sports_leisure,leisure,0.6
stationery,books_media,0.65
tablets_printing_image,electronics,0.8
telephony,electronics,0.8
toys,leisure,0.6
uncategorized,other,0.6
watches_gifts,fashion,0.45
