category,family,months_of_cover
agro_industry_and_commerce,tools_construction,2.5
air_conditioning,appliances,2.0
art,leisure,2.0
arts_and_craftmanship,leisure,2.0
audio,electronics,2.0
auto,tools_construction,2.5
baby,beauty_health,1.5
bed_bath_table,home,2.0
books_general_interest,books_media,2.0
books_imported,books_media,2.0
books_technical,books_media,2.0
cds_dvds_musicals,books_media,2.0
christmas_supplies,leisure,2.0
cine_photo,electronics,2.0
computers,electronics,2.0
computers_accessories,electronics,2.0
consoles_games,electronics,2.0
construction_tools_construction,tools_construction,2.5
construction_tools_lights,tools_construction,2.5
construction_tools_safety,tools_construction,2.5
cool_stuff,leisure,2.0
costruction_tools_garden,tools_construction,2.5
costruction_tools_tools,tools_construction,2.5
diapers_and_hygiene,beauty_health,1.5
drinks,food,1.0
dvds_blu_ray,books_media,2.0
electronics,electronics,2.0
fashio_female_clothing,fashion,3.0
fashion_bags_accessories,fashion,3.0
fashion_childrens_clothes,fashion,3.0
fashion_male_clothing,fashion,3.0
fashion_shoes,fashion,3.0
fashion_sport,fashion,3.0
fashion_underwear_beach,fashion,3.0
fixed_telephony,electronics,2.0
flowers,food,1.0
food,food,1.0
food_drink,food,1.0
furniture_bedroom,home,2.0
furniture_decor,home,2.0
furniture_living_room,home,2.0
furniture_mattress_and_upholstery,home,2.0
garden_tools,tools_construction,2.5
health_beauty,beauty_health,1.5
home_appliances,appliances,2.0
home_appliances_2,appliances,2.0
home_comfort_2,home,2.0
home_confort,home,2.0
home_construction,tools_construction,2.5
housewares,home,2.0
industry_commerce_and_business,tools_construction,2.5
kitchen_dining_laundry_garden_furniture,home,2.0
la_cuisine,home,2.0
luggage_accessories,fashion,3.0
market_place,other,1.5
music,books_media,2.0
musical_instruments,leisure,2.0
office_furniture,home,2.0
party_supplies,leisure,2.0
pc_gamer,electronics,2.0
perfumery,beauty_health,1.5
pet_shop,leisure,2.0
portable_kitchen_food_preparers,appliances,2.0
security_and_services,other,1.5
signaling_and_security,tools_construction,2.5
small_appliances,appliances,2.0
small_appliances_home_oven_and_coffee,appliances,2.0
sports_leisure,leisure,2.0
stationery,books_media,2.0
tablets_printing_image,electronics,2.0
telephony,electronics,2.0
toys,leisure,2.0
uncategorized,other,1.5
watches_gifts,fashion,3.0
