category,family,lead_time_days
agro_industry_and_commerce,tools_construction,20
air_conditioning,appliances,25
art,leisure,30
arts_and_craftmanship,leisure,30
audio,electronics,30
auto,tools_construction,20
baby,beauty_health,15
bed_bath_table,home,20
books_general_interest,books_media,10
books_imported,books_media,10
books_technical,books_media,10
cds_dvds_musicals,books_media,10
christmas_supplies,leisure,30
cine_photo,electronics,30
computers,electronics,30
computers_accessories,electronics,30
consoles_games,electronics,30
construction_tools_construction,tools_construction,20
construction_tools_lights,tools_construction,20
construction_tools_safety,tools_construction,20
cool_stuff,leisure,30
costruction_tools_garden,tools_construction,20
costruction_tools_tools,tools_construction,20
diapers_and_hygiene,beauty_health,15
drinks,food,7
dvds_blu_ray,books_media,10
electronics,electronics,30
fashio_female_clothing,fashion,45
fashion_bags_accessories,fashion,45
fashion_childrens_clothes,fashion,45
fashion_male_clothing,fashion,45
fashion_shoes,fashion,45
fashion_sport,fashion,45
fashion_underwear_beach,fashion,45
fixed_telephony,electronics,30
flowers,food,7
food,food,7
food_drink,food,7
furniture_bedroom,home,20
furniture_decor,home,20
furniture_living_room,home,20
furniture_mattress_and_upholstery,home,20
garden_tools,tools_construction,20
health_beauty,beauty_health,15
home_appliances,appliances,25
home_appliances_2,appliances,25
home_comfort_2,home,20
home_confort,home,20
home_construction,tools_construction,20
housewares,home,20
industry_commerce_and_business,tools_construction,20
kitchen_dining_laundry_garden_furniture,home,20
la_cuisine,home,20
luggage_accessories,fashion,45
market_place,other,20
music,books_media,10
musical_instruments,leisure,30
office_furniture,home,20
party_supplies,leisure,30
pc_gamer,electronics,30
perfumery,beauty_health,15
pet_shop,leisure,30
portable_kitchen_food_preparers,appliances,25
security_and_services,other,20
signaling_and_security,tools_construction,20
small_appliances,appliances,25
small_appliances_home_oven_and_coffee,appliances,25
sports_leisure,leisure,30
stationery,books_media,10
tablets_printing_image,electronics,30
telephony,electronics,30
toys,leisure,30
uncategorized,other,20
watches_gifts,fashion,45
